customer_id,first_name,last_name,email,segment,address,city,state,country,zipcode
2750,George,Mason,XXXXXXXXX,Corporate,5393 Silent Landing,Bowling Green,KY,EE. UU.,42101
11421,Tiffany,Brown,XXXXXXXXX,Consumer,9144 Gentle Dale,New Orleans,LA,EE. UU.,70122
4424,Mary,Jordan,XXXXXXXXX,Consumer,2556 Umber Autoroute,Newark,DE,EE. UU.,19702
7123,Carl,Smith,XXXXXXXXX,Consumer,4502 Hazy Run,Meridian,ID,EE. UU.,83642
999,Mary,Stephenson,XXXXXXXXX,Consumer,9557 Harvest Mews,Saint Paul,MN,EE. UU.,55124
11239,Debra,Smith,XXXXXXXXX,Consumer,1426 High Farm,New Albany,IN,EE. UU.,47150
6615,Mary,Meadows,XXXXXXXXX,Consumer,4226 High Row,Olathe,KS,EE. UU.,66062
771,Patricia,Smith,XXXXXXXXX,Consumer,9986 Old Common,Pawtucket,RI,EE. UU.,2860
8254,Jesse,Esparza,XXXXXXXXX,Consumer,7773 Merry Autoroute,Martinsburg,WV,EE. UU.,25401
251,Kelly,Adams,XXXXXXXXX,Corporate,5647 Indian Embers Key,Saint Paul,MN,EE. UU.,55112
4316,Kevin,Tran,XXXXXXXXX,Corporate,6471 Gentle Bank,Indianapolis,IN,EE. UU.,46226
7226,Helen,Smith,XXXXXXXXX,Home Office,7502 Cozy View,Michigan City,IN,EE. UU.,46360
2232,Paul,Berry,XXXXXXXXX,Corporate,2743 Hidden Blossom Square,Louisville,KY,EE. UU.,40214
11665,William,Anderson,XXXXXXXXX,Corporate,3112 Easy Turnabout,Louisville,KY,EE. UU.,40214
2001,Elizabeth,Smith,XXXXXXXXX,Consumer,4148 Round Parkway,Wichita,KS,EE. UU.,67212
1670,Keith,Callahan,XXXXXXXXX,Consumer,2685 Heather Downs,Opelousas,LA,EE. UU.,70570
5653,Jean,Schultz,XXXXXXXXX,Home Office,100 Pleasant Rabbit Hill,Lancaster,SC,EE. UU.,29720
2041,Paul,Garcia,XXXXXXXXX,Consumer,1070 Dusty Beacon Maze,Saint Paul,MN,EE. UU.,55124
569,Mary,Frye,XXXXXXXXX,Consumer,4834 Easy Terrace,Meridian,ID,EE. UU.,83642
1383,Catherine,Smith,XXXXXXXXX,Corporate,762 Misty Farm,Marrero,LA,EE. UU.,70072
8618,Joan,Trujillo,XXXXXXXXX,Consumer,7592 Bright Ledge,New Albany,IN,EE. UU.,47150
2476,Gerald,Smith,XXXXXXXXX,Consumer,9375 Honey Gate,New Orleans,LA,EE. UU.,70117
7133,Kathy,Smith,XXXXXXXXX,Consumer,3332 Heather Road,Saint Paul,MN,EE. UU.,55112
9003,Judy,Duran,XXXXXXXXX,Corporate,6933 Silver Close,Lancaster,SC,EE. UU.,29720
224,Mary,Hernandez,XXXXXXXXX,Corporate,8777 Silent View,Wheeling,WV,EE. UU.,26003
8696,Mary,Pope,XXXXXXXXX,Corporate,4776 Crystal River Stead,Washington,DC,EE. UU.,20009
3592,Mary,Smith,XXXXXXXXX,Corporate,5546 Rocky Cloud Beach,Richmond,KY,EE. UU.,40475
3114,Mary,Briggs,XXXXXXXXX,Consumer,5292 Heather Close,Billings,MT,EE. UU.,59102
453,Mary,Glenn,XXXXXXXXX,Corporate,516 Cozy Fawn Valley,Lancaster,SC,EE. UU.,29720
12137,Eugene,Barrera,XXXXXXXXX,Corporate,5270 Emerald Corner,Washington,DC,EE. UU.,20011
7507,Mary,Banks,XXXXXXXXX,Corporate,8622 Dusty Route,Washington,DC,EE. UU.,20019
715,Mary,Smith,XXXXXXXXX,Consumer,3065 Foggy Horse Port,Dubuque,IA,EE. UU.,52001
4125,Mary,Smith,XXXXXXXXX,Consumer,5835 Hidden Downs,Meridian,ID,EE. UU.,83642
11803,Katherine,Smith,XXXXXXXXX,Consumer,5777 Pleasant Common,Salina,KS,EE. UU.,67401
5289,Jacob,Russo,XXXXXXXXX,Consumer,5335 Foggy Jetty,Bismarck,ND,EE. UU.,58501
579,Mary,Smith,XXXXXXXXX,Consumer,8414 Velvet Island Ramp,New Orleans,LA,EE. UU.,70119
10489,Jeffrey,Smith,XXXXXXXXX,Corporate,92 Hidden Hill,Washington,DC,EE. UU.,20009
7370,Paul,Hanna,XXXXXXXXX,Corporate,2264 Thunder Abbey,Rock Hill,SC,EE. UU.,29730
11806,Mildred,Hester,XXXXXXXXX,Corporate,7577 Easy Mews,West Lafayette,IN,EE. UU.,47906
4785,Rachel,Price,XXXXXXXXX,Corporate,9662 Foggy Anchor Pathway,Kenner,LA,EE. UU.,70065
9837,Marilyn,Short,XXXXXXXXX,Corporate,1809 Shady Willow Swale,Goose Creek,SC,EE. UU.,29445
8010,Kathy,Smith,XXXXXXXXX,Corporate,6901 Lazy Plaza,Martinsburg,WV,EE. UU.,25401
